<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093542,67.180000000,100
US1.ATVI,0,20200505,093544,67.140000000,100
US1.ATVI,0,20200505,093544,67.140000000,100
US1.ATVI,0,20200505,093554,67.160000000,100
US1.ATVI,0,20200505,093600,67.140000000,200
US1.ATVI,0,20200505,093600,67.150000000,100
US1.ATVI,0,20200505,093608,67.130000000,100
US1.ATVI,0,20200505,093608,67.130000000,400
US1.ATVI,0,20200505,093608,67.130000000,100
US1.ATVI,0,20200505,093608,67.130000000,200
US1.ATVI,0,20200505,093610,67.080000000,100
US1.ATVI,0,20200505,093614,67.050000000,200
US1.ATVI,0,20200505,093625,67.060000000,200
US1.ATVI,0,20200505,093625,67.050000000,100
US1.ATVI,0,20200505,093625,67.040000000,100
US1.ATVI,0,20200505,093625,67.040000000,100
US1.ATVI,0,20200505,093627,67.060000000,100
US1.ATVI,0,20200505,093627,67.050000000,100
US1.ATVI,0,20200505,093627,67.050000000,100
US1.ATVI,0,20200505,093627,67.040000000,100
US1.ATVI,0,20200505,093628,67.050000000,100
US1.ATVI,0,20200505,093635,67.070000000,100
US1.ATVI,0,20200505,093635,67.070000000,100
US1.ATVI,0,20200505,093640,67.040000000,300
US1.ATVI,0,20200505,093640,67.060000000,100
US1.ATVI,0,20200505,093644,67.050000000,100
US1.ATVI,0,20200505,093644,67.050000000,100
US1.ATVI,0,20200505,093645,67.070000000,100
US1.ATVI,0,20200505,093645,67.070000000,100
US1.ATVI,0,20200505,093645,67.080000000,100
US1.ATVI,0,20200505,093645,67.080000000,100
US1.ATVI,0,20200505,093659,67.100000000,1490
US1.ATVI,0,20200505,093702,67.040000000,140
US1.ATVI,0,20200505,093702,67.020000000,308
US1.ATVI,0,20200505,093702,67.000000000,190
US1.ATVI,0,20200505,093702,67.020000000,200
US1.ATVI,0,20200505,093702,67.020000000,308
US1.ATVI,0,20200505,093702,67.010000000,100
US1.ATVI,0,20200505,093702,67.010000000,100
US1.ATVI,0,20200505,093703,66.970000000,200
US1.ATVI,0,20200505,093705,66.980000000,100
US1.ATVI,0,20200505,093713,66.980000000,100
US1.ATVI,0,20200505,093713,66.970000000,200
US1.ATVI,0,20200505,093716,67.000000000,200
US1.ATVI,0,20200505,093716,67.010000000,100
US1.ATVI,0,20200505,093716,67.020000000,100
US1.ATVI,0,20200505,093716,67.020000000,100
US1.ATVI,0,20200505,093732,66.970000000,200
US1.ATVI,0,20200505,093733,66.980000000,105
US1.ATVI,0,20200505,093734,66.990000000,200
US1.ATVI,0,20200505,093734,67.010000000,150
US1.ATVI,0,20200505,093734,67.010000000,100
US1.ATVI,0,20200505,093734,67.010000000,100
US1.ATVI,0,20200505,093734,67.010000000,100
US1.ATVI,0,20200505,093735,67.000000000,100
US1.ATVI,0,20200505,093746,67.010000000,100
US1.ATVI,0,20200505,093746,67.010000000,100
US1.ATVI,0,20200505,093749,67.010000000,100
US1.ATVI,0,20200505,093750,67.020000000,100
US1.ATVI,0,20200505,093750,67.020000000,100
US1.ATVI,0,20200505,093750,67.020000000,100
US1.ATVI,0,20200505,093750,67.030000000,100
US1.ATVI,0,20200505,093750,67.060000000,100
US1.ATVI,0,20200505,093750,67.060000000,100
US1.ATVI,0,20200505,093756,67.120000000,100
US1.ATVI,0,20200505,093757,67.080000000,200
US1.ATVI,0,20200505,093758,67.080000000,200
US1.ATVI,0,20200505,093758,67.080000000,100
US1.ATVI,0,20200505,093802,67.060000000,100
US1.ATVI,0,20200505,093802,67.070000000,100
US1.ATVI,0,20200505,093805,67.070000000,100
US1.ATVI,0,20200505,093810,67.040000000,200
US1.ATVI,0,20200505,093810,67.040000000,100
